brand_name,os,screen_size,4g,5g,main_camera_mp,selfie_camera_mp,int_memory,ram,battery,weight,release_year,days_used,new_price
BlackBerry,Others,5.28,no,no,5.0,2.0,512.0,0.25,1450.0,120.0,2013,774,130.24
ZTE,Android,10.29,yes,no,8.0,5.0,32.0,4.0,2200.0,154.0,2015,711,68.59
OnePlus,Android,16.64,yes,no,,16.0,128.0,8.0,3800.0,190.0,2019,476,382.49
Oppo,Android,15.37,yes,no,8.0,16.0,128.0,8.0,4000.0,189.0,2019,414,438.0
Samsung,Android,15.29,yes,yes,8.0,13.0,128.0,8.0,4000.0,168.1,2020,282,880.71
Samsung,Others,5.28,no,no,1.3,1.3,16.0,4.0,1000.0,130.4,2013,620,48.43
OnePlus,Android,16.64,yes,no,,16.0,128.0,8.0,3800.0,190.0,2019,381,382.49
Micromax,Android,12.7,no,no,13.0,5.0,32.0,4.0,2500.0,146.5,2014,871,170.29
Samsung,Android,25.43,no,no,8.0,2.0,32.0,4.0,7300.0,525.0,2018,452,202.06
Samsung,Android,17.78,no,no,2.0,2.0,32.0,4.0,3600.0,322.0,2014,816,190.48
Honor,Android,12.7,no,no,8.0,2.0,16.0,4.0,2000.0,156.0,2014,545,129.29
Asus,Android,12.7,yes,no,13.0,2.0,16.0,4.0,2300.0,150.0,2014,1013,250.68
Asus,Android,12.7,no,no,8.0,2.0,16.0,4.0,2070.0,140.0,2016,571,158.77
Samsung,Android,15.24,yes,no,8.0,5.0,16.0,4.0,3300.0,177.0,2018,642,149.44
Samsung,Android,17.86,yes,no,12.0,9.0,512.0,4.0,4380.0,263.0,2019,428,1751.18
Lenovo,Android,15.24,no,no,8.0,1.6,32.0,4.0,3000.0,171.5,2014,859,180.72
Micromax,Others,5.23,no,no,0.3,0.3,16.0,4.0,2000.0,118.0,2013,596,19.21
Meizu,Android,12.83,yes,no,13.0,5.0,16.0,4.0,3095.0,149.0,2015,725,201.15
Honor,Android,10.29,no,no,8.0,2.0,32.0,4.0,1730.0,159.0,2015,894,69.98
Oppo,Android,15.29,yes,no,16.0,8.0,128.0,4.0,3400.0,159.0,2018,444,328.96
LG,Android,15.72,yes,no,8.0,8.0,32.0,3.0,4000.0,164.0,2019,210,109.36
LG,Android,10.24,no,no,8.0,0.3,16.0,4.0,2460.0,118.0,2013,565,181.16
Lenovo,Android,10.16,no,no,2.0,5.0,16.0,4.0,1500.0,117.0,2015,634,63.43
